NR	STATCODE	XLAMB	YLAMB	ALT	TYPE	Beta
1	STA107	200900	347900	31	1	0.131006
2	STA131	187300	394700	27	1	0.095291
3	STA133	189800	323700	98	1	0.142036
4	STA136	196049	322190	106	3	0.204944
5	STA137	196525	321840	111	2	0.206401
6	STA227	167100	364200	32	1	0.171945
7	STA230	138400	392200	13	1	0.110992
8	STA232	173900	405900	19	1	0.244511
9	STA235	83600	383300	19	1	0.129821
10	STA236	160900	386600	18	3	0.246282
11	STA237	159000	383900	19	3	0.267174
12	STA238	163000	382300	20	3	0.31518
13	STA240	116050	400660	5	3	0.259273
14	STA241	112990	401770	3	2	0.438874
15	STA301	53200	406100	0	1	0.159547
16	STA318	40800	368500	0	1	0.129932
17	STA404	79600	454700	4	2	0.239168
18	STA411	79000	445500	-1	1	0.12646
19	STA415	77400	436700	0	1	0.192062
20	STA416	84200	436900	1	2	0.296934
21	STA418	92600	436600	4	2	0.293432
22	STA433	82000	436400	1	3	0.295083
23	STA437	90400	422400	0	1	0.136277
24	STA441	105500	424200	1	2	0.264429
25	STA444	95200	479100	5	1	0.08357
26	STA445	81600	454700	4	3	0.290246
27	STA446	84482	450542	0	2	0.219881
28	STA447	94826	464771	1	3	0.278399
29	STA448	91335	438010	3	3	0.242508
30	STA518	115200	488600	1	2	0.323932
31	STA520	123100	489400	2	2	0.355437
32	STA537	104700	488400	2	3	0.322587
33	STA538	132200	535200	-3	1	0.126368
34	STA544	123134	484634	4	3	0.296134
35	STA545	117800	483600	2	3	0.179359
36	STA620	123400	442300	0	1	0.138747
37	STA627	141900	459100	8	1	0.13101
38	STA631	170700	495700	-4	1	0.126368
39	STA633	117400	461300	-1	1	0.113843
40	STA636	137000	457400	4	3	0.251447
41	STA637	137000	456300	4	3	0.279503
42	STA638	135500	456100	4	3	0.314587
43	STA639	136700	453300	4	3	0.324246
44	STA640	137000	456200	4	2	0.281178
45	STA641	127700	468300	0	3	0.120194
46	STA722	238500	456600	19	1	0.123268
47	STA724	173000	442800	8	1	0.228189
48	STA727	193700	470600	20	3	0.234456
49	STA728	194600	469700	17	3	0.269136
50	STA729	194300	467100	21	3	0.347346
51	STA733	199400	459400	17	1	0.126657
52	STA738	176990	458220	19	1	0.101165
53	STA741	187500	428200	24	3	0.242666
54	STA742	187200	427800	25	3	0.253009
55	STA807	224200	489500	9	1	0.084714
56	STA818	197700	518700	0	1	0.100462
57	STA913	249500	573800	0	1	0.167385
58	STA918	167600	547900	0	1	0.122563
59	STA928	241400	536900	15	1	0.111388
60	STA929	259100	544300	7	1	0.139375
61	STA934	214300	594200	0	1	0.100595
62	STA937	234600	581900	2	3	0.382575
63	STA938	236556	585140	0	2	0.166606
